I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcublas.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcufft.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcurand.so.8.0 locally
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:910] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: GeForce GTX 750 Ti
major: 5 minor: 0 memoryClockRate (GHz) 1.0845
pciBusID 0000:01:00.0
Total memory: 1.95GiB
Free memory: 1.85GiB
2017-03-27 20:30:50.811038: Step 400: Cross entropy = 0.965505
2017-03-27 20:30:50.939769: Step 400: Validation accuracy = 55.0% (N=100)
2017-03-27 20:30:52.105992: Step 410: Train accuracy = 62.0%
2017-03-27 20:30:52.106046: Step 410: Cross entropy = 1.227567
2017-03-27 20:30:52.216038: Step 410: Validation accuracy = 72.0% (N=100)
2017-03-27 20:30:53.391703: Step 420: Train accuracy = 65.0%
2017-03-27 20:30:53.391743: Step 420: Cross entropy = 1.137752
2017-03-27 20:30:53.524416: Step 420: Validation accuracy = 65.0% (N=100)
2017-03-27 20:30:54.730292: Step 430: Train accuracy = 74.0%
2017-03-27 20:30:54.730333: Step 430: Cross entropy = 1.040010
2017-03-27 20:30:54.849834: Step 430: Validation accuracy = 59.0% (N=100)
2017-03-27 20:30:56.071782: Step 440: Train accuracy = 69.0%
2017-03-27 20:30:56.071825: Step 440: Cross entropy = 1.136044
2017-03-27 20:30:56.196005: Step 440: Validation accuracy = 63.0% (N=100)
2017-03-27 20:30:57.264753: Step 450: Train accuracy = 66.0%
2017-03-27 20:30:57.264798: Step 450: Cross entropy = 1.156145
2017-03-27 20:30:57.392404: Step 450: Validation accuracy = 59.0% (N=100)
2017-03-27 20:30:58.542733: Step 460: Train accuracy = 73.0%
2017-03-27 20:30:58.542777: Step 460: Cross entropy = 1.113614
2017-03-27 20:30:58.669505: Step 460: Validation accuracy = 73.0% (N=100)
2017-03-27 20:30:59.889576: Step 470: Train accuracy = 59.0%
2017-03-27 20:30:59.889619: Step 470: Cross entropy = 1.234927
2017-03-27 20:31:00.020136: Step 470: Validation accuracy = 63.0% (N=100)
2017-03-27 20:31:01.357912: Step 480: Train accuracy = 65.0%
2017-03-27 20:31:01.357962: Step 480: Cross entropy = 1.156940
2017-03-27 20:31:01.479021: Step 480: Validation accuracy = 61.0% (N=100)
2017-03-27 20:31:02.785842: Step 490: Train accuracy = 69.0%
2017-03-27 20:31:02.785893: Step 490: Cross entropy = 1.033432
2017-03-27 20:31:02.893432: Step 490: Validation accuracy = 71.0% (N=100)
2017-03-27 20:31:04.046606: Step 500: Train accuracy = 61.0%
2017-03-27 20:31:04.046647: Step 500: Cross entropy = 1.109959
2017-03-27 20:31:04.171690: Step 500: Validation accuracy = 57.0% (N=100)
2017-03-27 20:31:05.406681: Step 510: Train accuracy = 67.0%
2017-03-27 20:31:05.406722: Step 510: Cross entropy = 1.158227
2017-03-27 20:31:05.532515: Step 510: Validation accuracy = 68.0% (N=100)
2017-03-27 20:31:06.764134: Step 520: Train accuracy = 71.0%
2017-03-27 20:31:06.764179: Step 520: Cross entropy = 1.047253
2017-03-27 20:31:06.888305: Step 520: Validation accuracy = 68.0% (N=100)
2017-03-27 20:31:08.100847: Step 530: Train accuracy = 68.0%
2017-03-27 20:31:08.100888: Step 530: Cross entropy = 1.073398
2017-03-27 20:31:08.222260: Step 530: Validation accuracy = 75.0% (N=100)
2017-03-27 20:31:09.380411: Step 540: Train accuracy = 70.0%
2017-03-27 20:31:09.380452: Step 540: Cross entropy = 1.077101
2017-03-27 20:31:09.500238: Step 540: Validation accuracy = 63.0% (N=100)
2017-03-27 20:31:10.650856: Step 550: Train accuracy = 73.0%
2017-03-27 20:31:10.650897: Step 550: Cross entropy = 1.031891
2017-03-27 20:31:10.772777: Step 550: Validation accuracy = 68.0% (N=100)
2017-03-27 20:31:11.905082: Step 560: Train accuracy = 64.0%
2017-03-27 20:31:11.905125: Step 560: Cross entropy = 1.107427
2017-03-27 20:31:12.034692: Step 560: Validation accuracy = 65.0% (N=100)
2017-03-27 20:31:13.217963: Step 570: Train accuracy = 61.0%
2017-03-27 20:31:13.218004: Step 570: Cross entropy = 1.151919
2017-03-27 20:31:13.342383: Step 570: Validation accuracy = 66.0% (N=100)
2017-03-27 20:31:14.481627: Step 580: Train accuracy = 61.0%
2017-03-27 20:31:14.481668: Step 580: Cross entropy = 1.049553
2017-03-27 20:31:14.599020: Step 580: Validation accuracy = 65.0% (N=100)
2017-03-27 20:31:15.708147: Step 590: Train accuracy = 68.0%
2017-03-27 20:31:15.708188: Step 590: Cross entropy = 1.131172
2017-03-27 20:31:15.817538: Step 590: Validation accuracy = 64.0% (N=100)
2017-03-27 20:31:16.962612: Step 600: Train accuracy = 70.0%
2017-03-27 20:31:16.962655: Step 600: Cross entropy = 0.980582
2017-03-27 20:31:17.074296: Step 600: Validation accuracy = 67.0% (N=100)
2017-03-27 20:31:18.140344: Step 610: Train accuracy = 73.0%
2017-03-27 20:31:18.140388: Step 610: Cross entropy = 0.970326
2017-03-27 20:31:18.261428: Step 610: Validation accuracy = 66.0% (N=100)
2017-03-27 20:31:19.383662: Step 620: Train accuracy = 68.0%
2017-03-27 20:31:19.383709: Step 620: Cross entropy = 1.064513
2017-03-27 20:31:19.501688: Step 620: Validation accuracy = 63.0% (N=100)
2017-03-27 20:31:20.618673: Step 630: Train accuracy = 74.0%
2017-03-27 20:31:20.618714: Step 630: Cross entropy = 0.964406
2017-03-27 20:31:20.745478: Step 630: Validation accuracy = 70.0% (N=100)
2017-03-27 20:31:21.850865: Step 640: Train accuracy = 79.0%
2017-03-27 20:31:21.850905: Step 640: Cross entropy = 0.904103
2017-03-27 20:31:21.963229: Step 640: Validation accuracy = 68.0% (N=100)
2017-03-27 20:31:23.050111: Step 650: Train accuracy = 65.0%
2017-03-27 20:31:23.050153: Step 650: Cross entropy = 1.157927
2017-03-27 20:31:23.160414: Step 650: Validation accuracy = 73.0% (N=100)
2017-03-27 20:31:24.218215: Step 660: Train accuracy = 63.0%
2017-03-27 20:31:24.218256: Step 660: Cross entropy = 1.118021
2017-03-27 20:31:24.329545: Step 660: Validation accuracy = 59.0% (N=100)
2017-03-27 20:31:25.423828: Step 670: Train accuracy = 75.0%
2017-03-27 20:31:25.423869: Step 670: Cross entropy = 0.961838
2017-03-27 20:31:25.534840: Step 670: Validation accuracy = 66.0% (N=100)
2017-03-27 20:31:26.611737: Step 680: Train accuracy = 70.0%
2017-03-27 20:31:26.611780: Step 680: Cross entropy = 0.967470
2017-03-27 20:31:26.734040: Step 680: Validation accuracy = 71.0% (N=100)
2017-03-27 20:31:27.791962: Step 690: Train accuracy = 68.0%
2017-03-27 20:31:27.792011: Step 690: Cross entropy = 0.998268
2017-03-27 20:31:27.901057: Step 690: Validation accuracy = 73.0% (N=100)
2017-03-27 20:31:28.962264: Step 700: Train accuracy = 76.0%
2017-03-27 20:31:28.962306: Step 700: Cross entropy = 0.916274
2017-03-27 20:31:29.073543: Step 700: Validation accuracy = 68.0% (N=100)
2017-03-27 20:31:30.029257: Step 710: Train accuracy = 70.0%
2017-03-27 20:31:30.029300: Step 710: Cross entropy = 1.006220
2017-03-27 20:31:30.137515: Step 710: Validation accuracy = 66.0% (N=100)
2017-03-27 20:31:31.208855: Step 720: Train accuracy = 76.0%
2017-03-27 20:31:31.208901: Step 720: Cross entropy = 0.893243
2017-03-27 20:31:31.320167: Step 720: Validation accuracy = 76.0% (N=100)
2017-03-27 20:31:32.381177: Step 730: Train accuracy = 73.0%
2017-03-27 20:31:32.381219: Step 730: Cross entropy = 0.936483
2017-03-27 20:31:32.489953: Step 730: Validation accuracy = 61.0% (N=100)
2017-03-27 20:31:33.562176: Step 740: Train accuracy = 78.0%
2017-03-27 20:31:33.562218: Step 740: Cross entropy = 0.894288
2017-03-27 20:31:33.673080: Step 740: Validation accuracy = 66.0% (N=100)
2017-03-27 20:31:34.740513: Step 750: Train accuracy = 71.0%
2017-03-27 20:31:34.740555: Step 750: Cross entropy = 1.020767
2017-03-27 20:31:34.862563: Step 750: Validation accuracy = 66.0% (N=100)
2017-03-27 20:31:35.914472: Step 760: Train accuracy = 69.0%
2017-03-27 20:31:35.914511: Step 760: Cross entropy = 0.905475
2017-03-27 20:31:36.022740: Step 760: Validation accuracy = 70.0% (N=100)
2017-03-27 20:31:37.083960: Step 770: Train accuracy = 66.0%
2017-03-27 20:31:37.084014: Step 770: Cross entropy = 1.054647
2017-03-27 20:31:37.186843: Step 770: Validation accuracy = 66.0% (N=100)
2017-03-27 20:31:38.242304: Step 780: Train accuracy = 69.0%
2017-03-27 20:31:38.242345: Step 780: Cross entropy = 1.042852
2017-03-27 20:31:38.345265: Step 780: Validation accuracy = 69.0% (N=100)
2017-03-27 20:31:39.397638: Step 790: Train accuracy = 80.0%
2017-03-27 20:31:39.397678: Step 790: Cross entropy = 0.814623
2017-03-27 20:31:39.507759: Step 790: Validation accuracy = 57.0% (N=100)
2017-03-27 20:31:40.473575: Step 800: Train accuracy = 70.0%
2017-03-27 20:31:40.473616: Step 800: Cross entropy = 0.951405
2017-03-27 20:31:40.583315: Step 800: Validation accuracy = 64.0% (N=100)
2017-03-27 20:31:41.666341: Step 810: Train accuracy = 74.0%
2017-03-27 20:31:41.666381: Step 810: Cross entropy = 0.849991
2017-03-27 20:31:41.773648: Step 810: Validation accuracy = 61.0% (N=100)
2017-03-27 20:31:42.867998: Step 820: Train accuracy = 73.0%
2017-03-27 20:31:42.868038: Step 820: Cross entropy = 0.917902
2017-03-27 20:31:42.977244: Step 820: Validation accuracy = 74.0% (N=100)
2017-03-27 20:31:44.065869: Step 830: Train accuracy = 76.0%
2017-03-27 20:31:44.065912: Step 830: Cross entropy = 0.889673
2017-03-27 20:31:44.191899: Step 830: Validation accuracy = 75.0% (N=100)
2017-03-27 20:31:45.271400: Step 840: Train accuracy = 79.0%
2017-03-27 20:31:45.271443: Step 840: Cross entropy = 0.779616
2017-03-27 20:31:45.382391: Step 840: Validation accuracy = 69.0% (N=100)
2017-03-27 20:31:46.321456: Step 850: Train accuracy = 61.0%
2017-03-27 20:31:46.321501: Step 850: Cross entropy = 1.138584
2017-03-27 20:31:46.427711: Step 850: Validation accuracy = 74.0% (N=100)
2017-03-27 20:31:47.533013: Step 860: Train accuracy = 76.0%
2017-03-27 20:31:47.533054: Step 860: Cross entropy = 0.891584
2017-03-27 20:31:47.642972: Step 860: Validation accuracy = 66.0% (N=100)
2017-03-27 20:31:48.704127: Step 870: Train accuracy = 64.0%
2017-03-27 20:31:48.704168: Step 870: Cross entropy = 1.006646
2017-03-27 20:31:48.808544: Step 870: Validation accuracy = 65.0% (N=100)
2017-03-27 20:31:49.888262: Step 880: Train accuracy = 67.0%
2017-03-27 20:31:49.888303: Step 880: Cross entropy = 1.043218
2017-03-27 20:31:50.000992: Step 880: Validation accuracy = 74.0% (N=100)
2017-03-27 20:31:51.089290: Step 890: Train accuracy = 74.0%
2017-03-27 20:31:51.089332: Step 890: Cross entropy = 0.994564
2017-03-27 20:31:51.197072: Step 890: Validation accuracy = 72.0% (N=100)
2017-03-27 20:31:52.276137: Step 900: Train accuracy = 67.0%
2017-03-27 20:31:52.276177: Step 900: Cross entropy = 0.982637
2017-03-27 20:31:52.390264: Step 900: Validation accuracy = 64.0% (N=100)
2017-03-27 20:31:53.491454: Step 910: Train accuracy = 71.0%
2017-03-27 20:31:53.491499: Step 910: Cross entropy = 0.882767
2017-03-27 20:31:53.599672: Step 910: Validation accuracy = 75.0% (N=100)
2017-03-27 20:31:54.703113: Step 920: Train accuracy = 66.0%
2017-03-27 20:31:54.703156: Step 920: Cross entropy = 0.976582
2017-03-27 20:31:54.826545: Step 920: Validation accuracy = 70.0% (N=100)
